name,name_en,month start,month end,color,size_cm,sweetness_brix,import / developed region,import / developed year,mix,interesting_fact,photo
夏雪 / 高雄三號,XiaXue,6,7,yellow,12.5,12,高雄,2008,(土芒果)在來種芒果後代選拔, ,
愛文,Irwin,4,8,bright reddish orange,11,12.7,美國,1954,,,
金興,,6,7,red,17,14.1,台南縣南化鄉,1996,愛文+凱特,,
土芒果,Tu,5,7,green,8.5,14.9,爪哇,1562 / 1624,,,
玉文,Yuwen,5,7,yellowish red,12.5,15,台南玉井鄉,,金煌+愛文,,
聖心,Sensation,7,8,dark red,11,15,美國,1954,,,
玉文6號,,5,7,reddish yellow,15,15.1,台南市玉井區,1980,金煌+愛文,,
凱特 / 九月芒果,Keitt,9,10,orange / yellow / green,15,15.4,南縣玉井鄉,1986,,,
海頓,Haden,6,7,dark red yellow,11,15.4,美國,1954,,,
黑香 / 烏香,,7,8,green,12.5,15.6,印尼,1912,,,
西施,,7,8,bright red,21,16,台南市南化區,,貴妃芒果 + 土芒果,,
杉林 1 號,,6,7,orange,12.5,16.2,高雄縣杉林鄉,1991,果園中發現,,
蜜雪 / 高雄4號,,6,7,peachy red,11,17,高雄,2012,,,
四季檨 / 農民黨1號,,4,8,pinkish yellow,14,17,嘉義縣,1981,愛文+懷特,,
水蜜桃芒果 / 紅龍 / 紅金煌 ,,5,7,orangish yellow,12.5,17.3,高雄市荖濃,1976,果園中發現,,
金煌,,5,7,yellow,21,17.4,高雄市六龜區,1981,懷特+凱特,,
台農2號,,5,7,beige,13.5,17.7,鳳山,1985,自然雜交選拔,,
慢愛文 / 晚文,,8,8,reddish orange,11.5,18,高雄縣六龜鄉,1996,果園中發現,,
四季芒果 / 卓安南 / 黃金芒果 / 四季蜜芒果,,3,11,yellow,14,20,泰國,1912,,,
玉林,Yulin,7,8,yellow,10.5,20.1,台南縣玉井鄉,1976,,,
金蜜,,7,8,yellow,9.5,21.3,彰化縣,1971,不斷的繁殖與馴化,金蜜芒果為台灣特有種，是彰化縣埔心鄉的特產，占全國95％的產量。,
台中1號,,7,8,light reddish yellow,12.5,22.5,台中,2015,,,
香水芒果 / 台農1號 ,,5,7,reddish yellow,8.5,25,鳳山,1985,自然雜交,,
